"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2019","20,884.71","20,859.78","20,907.77","20,816.58","522.70M","0.53%"
"Jun 06, 2019","20,774.04","20,745.84","20,842.28","20,745.84","614.23M","-0.01%"
"Jun 05, 2019","20,776.10","20,667.89","20,800.64","20,646.15","744.71M","1.80%"
"Jun 04, 2019","20,408.54","20,435.86","20,464.57","20,289.64","713.00M","-0.01%"
"Jun 03, 2019","20,410.88","20,327.87","20,438.03","20,305.74","695.25M","-0.92%"
"May 31, 2019","20,601.19","20,785.21","20,823.10","20,581.58","814.51M","-1.63%"
"May 30, 2019","20,942.53","20,881.50","20,942.53","20,809.29","604.99M","-0.29%"
"May 29, 2019","21,003.37","21,055.42","21,071.73","20,884.61","721.55M","-1.21%"
"May 28, 2019","21,260.14","21,187.17","21,297.70","21,177.27","1.02B","0.37%"
"May 27, 2019","21,182.58","21,148.46","21,232.38","21,113.76","429.01M","0.31%"
"May 24, 2019","21,117.22","20,980.79","21,117.22","20,922.00","698.31M","-0.16%"
"May 23, 2019","21,151.14","21,180.24","21,209.56","21,072.72","658.64M","-0.62%"
"May 22, 2019","21,283.37","21,373.52","21,404.54","21,266.98","665.38M","0.05%"
"May 21, 2019","21,272.45","21,211.26","21,318.80","21,160.43","723.21M","-0.14%"
"May 20, 2019","21,301.73","21,305.97","21,430.06","21,282.65","671.33M","0.24%"
"May 17, 2019","21,250.09","21,246.86","21,398.85","21,199.98","780.73M","0.89%"
"May 16, 2019","21,062.98","21,153.20","21,153.20","20,951.67","849.62M","-0.59%"
"May 15, 2019","21,188.56","21,112.85","21,191.53","20,968.08","866.63M","0.58%"
"May 14, 2019","21,067.23","20,870.77","21,077.48","20,751.45","929.62M","-0.59%"
"May 13, 2019","21,191.28","21,180.74","21,277.66","21,127.93","768.21M","-0.72%"
"May 10, 2019","21,344.92","21,431.81","21,584.09","21,175.33","1.02B","-0.27%"
"May 09, 2019","21,402.13","21,492.91","21,559.76","21,315.07","999.11M","-0.93%"
"May 08, 2019","21,602.59","21,628.04","21,639.12","21,514.85","884.46M","-1.46%"
"May 07, 2019","21,923.72","22,184.40","22,190.49","21,875.11","934.91M","-1.51%"
"Apr 26, 2019","22,258.73","22,167.48","22,270.29","22,073.10","740.80M","-0.22%"
"Apr 25, 2019","22,307.58","22,183.32","22,334.69","22,155.23","652.75M","0.48%"
"Apr 24, 2019","22,200.00","22,356.83","22,362.92","22,125.48","700.36M","-0.27%"
"Apr 23, 2019","22,259.74","22,241.74","22,268.37","22,119.94","535.79M","0.19%"
"Apr 22, 2019","22,217.90","22,188.62","22,280.19","22,099.38","441.69M","0.08%"
"Apr 19, 2019","22,200.56","22,238.07","22,250.37","22,162.23","498.21M","0.50%"
"Apr 18, 2019","22,090.12","22,274.13","22,305.63","22,058.39","693.55M","-0.84%"
"Apr 17, 2019","22,277.97","22,236.41","22,345.19","22,185.87","776.60M","0.25%"
"Apr 16, 2019","22,221.66","22,108.15","22,261.33","22,095.32","590.95M","0.24%"
"Apr 15, 2019","22,169.11","22,122.97","22,211.03","22,102.93","681.43M","1.37%"
"Apr 12, 2019","21,870.56","21,782.35","21,878.78","21,698.71","634.65M","0.73%"
"Apr 11, 2019","21,711.38","21,662.65","21,721.42","21,627.87","630.65M","0.11%"
"Apr 10, 2019","21,687.57","21,579.68","21,687.57","21,571.67","605.02M","-0.53%"
"Apr 09, 2019","21,802.59","21,750.29","21,811.88","21,698.42","559.51M","0.19%"
"Apr 08, 2019","21,761.65","21,900.55","21,900.55","21,740.53","563.26M","-0.21%"
"Apr 05, 2019","21,807.50","21,743.14","21,839.18","21,731.34","602.89M","0.38%"
"Apr 04, 2019","21,724.95","21,724.69","21,787.60","21,662.90","596.94M","0.05%"
"Apr 03, 2019","21,713.21","21,563.64","21,722.72","21,489.95","705.68M","0.97%"
"Apr 02, 2019","21,505.31","21,744.64","21,744.64","21,490.56","732.24M","-0.02%"
"Apr 01, 2019","21,509.03","21,500.89","21,682.94","21,471.12","798.21M","1.43%"
"Mar 31, 2019","21,205.81","21,205.81","21,205.81","21,205.81","-","0.00%"
"Mar 29, 2019","21,205.81","21,228.51","21,267.25","21,149.42","635.38M","0.82%"
"Mar 28, 2019","21,033.76","21,191.32","21,191.32","20,974.19","733.10M","-1.61%"
"Mar 27, 2019","21,378.73","21,353.61","21,388.59","21,242.52","782.56M","-0.23%"
"Mar 26, 2019","21,428.39","21,174.34","21,460.99","21,174.34","1.04B","2.15%"
"Mar 25, 2019","20,977.11","21,267.41","21,275.43","20,911.57","801.45M","-3.01%"
"Mar 22, 2019","21,627.34","21,713.26","21,713.26","21,542.03","813.48M","0.09%"
"Mar 20, 2019","21,608.92","21,548.65","21,614.17","21,499.16","673.20M","0.20%"
"Mar 19, 2019","21,566.85","21,558.43","21,585.55","21,425.79","617.70M","-0.08%"
"Mar 18, 2019","21,584.50","21,576.36","21,612.67","21,500.32","568.96M","0.62%"
"Mar 15, 2019","21,450.85","21,376.73","21,521.68","21,374.85","857.90M","0.77%"
"Mar 14, 2019","21,287.02","21,474.58","21,522.75","21,287.02","660.94M","-0.02%"
"Mar 13, 2019","21,290.24","21,425.77","21,474.17","21,198.99","681.77M","-0.99%"
"Mar 12, 2019","21,503.69","21,361.61","21,568.48","21,348.81","698.57M","1.79%"
"Mar 11, 2019","21,125.09","21,062.75","21,145.94","20,938.00","573.25M","0.47%"
"Mar 08, 2019","21,025.56","21,339.17","21,359.32","20,993.07","1.03B","-2.01%"
"Mar 07, 2019","21,456.01","21,456.88","21,472.16","21,402.12","774.96M","-0.65%"
"Mar 06, 2019","21,596.81","21,659.03","21,684.60","21,550.45","588.58M","-0.60%"
"Mar 05, 2019","21,726.28","21,712.80","21,798.38","21,659.04","610.39M","-0.44%"
"Mar 04, 2019","21,822.04","21,812.81","21,860.39","21,740.92","609.23M","1.02%"
"Mar 01, 2019","21,602.69","21,490.02","21,641.58","21,490.02","644.74M","1.02%"
"Feb 28, 2019","21,385.16","21,536.55","21,536.55","21,364.09","737.24M","-0.79%"
"Feb 27, 2019","21,556.51","21,504.61","21,578.81","21,492.65","698.29M","0.50%"
"Feb 26, 2019","21,449.39","21,556.02","21,610.88","21,405.84","580.57M","-0.37%"
"Feb 25, 2019","21,528.23","21,567.66","21,590.03","21,505.07","533.64M","0.48%"
"Feb 22, 2019","21,425.51","21,376.36","21,451.23","21,348.67","539.89M","-0.18%"
"Feb 21, 2019","21,464.23","21,422.31","21,553.35","21,318.74","704.96M","0.15%"
"Feb 20, 2019","21,431.49","21,346.04","21,494.85","21,315.39","615.07M","0.60%"
"Feb 19, 2019","21,302.65","21,256.58","21,344.17","21,217.16","552.65M","0.10%"
"Feb 18, 2019","21,281.85","21,217.32","21,306.36","21,189.97","636.94M","1.82%"
"Feb 15, 2019","20,900.63","21,051.51","21,051.51","20,853.33","676.14M","-1.13%"
"Feb 14, 2019","21,139.71","21,147.89","21,235.62","21,102.16","665.20M","-0.02%"
"Feb 13, 2019","21,144.48","21,029.93","21,213.74","20,992.88","810.27M","1.34%"
"Feb 12, 2019","20,864.21","20,442.55","20,885.88","20,428.57","866.91M","2.61%"
"Feb 08, 2019","20,333.17","20,510.50","20,562.39","20,315.31","888.59M","-2.01%"
"Feb 07, 2019","20,751.28","20,812.22","20,844.77","20,665.51","727.74M","-0.59%"
"Feb 06, 2019","20,874.06","20,928.87","20,971.66","20,860.99","710.05M","0.14%"
"Feb 05, 2019","20,844.45","20,960.47","20,981.23","20,823.18","674.93M","-0.19%"
"Feb 04, 2019","20,883.77","20,831.90","20,922.58","20,823.68","686.88M","0.46%"
"Feb 01, 2019","20,788.39","20,797.03","20,929.63","20,741.98","847.46M","0.07%"
"Jan 31, 2019","20,773.49","20,832.91","20,869.42","20,682.91","779.60M","1.06%"
"Jan 30, 2019","20,556.54","20,701.62","20,706.27","20,527.53","743.38M","-0.52%"
"Jan 29, 2019","20,664.64","20,555.44","20,673.66","20,406.22","650.25M","0.08%"
"Jan 28, 2019","20,649.00","20,746.29","20,759.48","20,624.55","585.54M","-0.60%"
"Jan 25, 2019","20,773.56","20,598.64","20,844.31","20,598.64","705.06M","0.97%"
"Jan 24, 2019","20,574.63","20,506.24","20,620.72","20,467.59","633.32M","-0.09%"
"Jan 23, 2019","20,593.72","20,453.44","20,686.29","20,438.22","612.83M","-0.14%"
"Jan 22, 2019","20,622.91","20,770.06","20,805.93","20,558.30","588.60M","-0.47%"
"Jan 21, 2019","20,719.33","20,848.38","20,892.68","20,678.26","630.65M","0.26%"
"Jan 18, 2019","20,666.07","20,472.81","20,682.12","20,454.13","666.63M","1.29%"
"Jan 17, 2019","20,402.27","20,544.23","20,571.75","20,342.46","656.18M","-0.20%"
"Jan 16, 2019","20,442.75","20,575.72","20,580.25","20,323.32","716.84M","-0.55%"
"Jan 15, 2019","20,555.29","20,264.82","20,571.28","20,204.43","806.94M","0.96%"
"Jan 11, 2019","20,359.70","20,296.45","20,389.89","20,294.74","801.21M","0.97%"
